total_time,silent_pauses,total_syllables,phonation_time,confidence
2.61,0,14,2.56466,1
1.48,1,5,0.808,-1
0.28,0,1,0.21734,1
0.68,0,2,0.68,1
2.25,1,1,1.46334,1
0.48,0,2,0.448,1
0.41,0,1,0.41,-1
0.41,0,1,0.39466,1
0.36,0,1,0.36,1
0.41,0,2,0.41,1
0.47,0,2,0.45734,1
0.12,0,1,0.0,0
0.53,0,1,0.352,1
2.81,0,4,1.35866,1
3.15,0,14,3.15,1
1.76,0,9,1.76,1
1.88,0,13,1.88,-1
6.13,1,29,5.38734,1
2.73,1,17,2.27266,1
2.76,1,15,2.27134,1
0.35,0,2,0.31666,1
0.35,0,2,0.31466,0
0.48,0,1,0.448,1
0.48,0,2,0.45466,1
0.43,0,1,0.41466,1
0.31,0,2,0.16266,1
0.52,0,1,0.39734,0
0.55,0,1,0.496,1
2.32,0,10,2.064,1
0.74,0,2,0.592,1
3.32,1,2,2.456,1
2.69,0,6,1.89734,0
3.86,1,13,2.58866,1
6.88,2,26,5.52334,1
2.33,0,10,1.968,1
2.9,0,7,2.32,1
8.04,3,24,6.85066,0
5.96,2,15,4.824,1
1.77,0,9,1.71734,1
1.27,0,3,0.864,1
0.42,0,2,0.336,1
2.6,1,8,1.96334,-1
2.07,0,2,0.76934,1
0.43,0,1,0.37066,1
0.55,0,1,0.55,1
0.4,0,1,0.38666,1
0.44,0,1,0.352,-1
2.41,2,3,1.05466,1
1.45,1,4,1.002,1
2.93,1,14,2.61,1
1.8,0,9,1.8,1
0.29,0,2,0.29,0
5.35,2,18,4.262,1
6.24,1,23,5.36534,1
8.27,1,31,7.312,1
7.13,2,22,5.09066,1
3.28,0,21,3.28,0
3.21,1,14,2.602,1
2.78,0,13,2.37134,1
1.81,1,5,1.49866,1
6.29,1,22,4.59734,1
2.73,1,9,1.952,0
2.32,0,8,1.184,1
1.63,1,3,0.82066,1
